"","RANK","PLAYER","WINS","LAST_WIN_YEAR"
"1",1,"Roger Federer",19,2017
"2",2,"Rafael Nadal",16,2017
"3",3,"Pete Sampras",14,2002
"4",4,"Novak Djokovic",12,2016
"5",4,"Roy Emerson",12,1967
"6",6,"Bjorn Borg",11,1981
"7",6,"Rod Laver",11,1969
"8",8,"William T. Tilden",10,1930
"9",9,"Andre Agassi",8,2003
"10",9,"Fred Perry",8,1936
"11",9,"Henri Cochet",8,1932
"12",9,"Ivan Lendl",8,1990
"13",9,"Jimmy Connors",8,1983
"14",9,"Ken Rosewall",8,1972
"15",9,"Max Decugis",8,1914
"16",9,"William A. Larned",8,1911
"17",17,"John McEnroe",7,1984
"18",17,"John Newcombe",7,1975
"19",17,"Mats Wilander",7,1988
"20",17,"Rene Lacoste",7,1929
"21",17,"Richard D. Sears",7,1887
"22",17,"William Renshaw",7,1889
"23",23,"Boris Becker",6,1996
"24",23,"Donald Budge",6,1938
"25",23,"Stefan Edberg",6,1992
"26",26,"Frank Sedgman",5,1952
"27",26,"Jack Crawford",5,1935
"28",26,"Jean Borotra",5,1931
"29",26,"Laurie Doherty",5,1906
"30",26,"Tony Trabert",5,1955
"31",31,"Andre Vacherot",4,1901
"32",31,"Anthony Wilding",4,1913
"33",31,"Ashley J. Cooper",4,1958
"34",31,"Frank Parker",4,1949
"35",31,"Guillermo Vilas",4,1979
"36",31,"Jim Courier",4,1993
"37",31,"Lewis Hoad",4,1957
"38",31,"Manuel Santana",4,1966
"39",31,"Pat O'Hara Wood",4,1923
"40",31,"Paul Ayme",4,1900
"41",31,"Reggie Doherty",4,1900
"42",31,"Robert D. Wrenn",4,1897
"43",43,"Adrian Quist",3,1948
"44",43,"Andy Murray",3,2016
"45",43,"Arthur Ashe",3,1975
"46",43,"Arthur Gore",3,1909
"47",43,"Gerald Patterson",3,1927
"48",43,"Gustavo Kuerten",3,2001
"49",43,"H. Ellsworth Vines",3,1932
"50",43,"Jack Kramer",3,1947
"51",43,"Jan Kodes",3,1973
"52",43,"Jaroslav Drobny",3,1954
"53",43,"Malcolm D. Whitman",3,1900
"54",43,"Maurice Germot",3,1910
"55",43,"Neale Fraser",3,1960
"56",43,"Norman Brookes",3,1914
"57",43,"Oliver S. Campbell",3,1892
"58",43,"Robert Riggs",3,1941
"59",43,"Stan Wawrinka",3,2016
"60",43,"Wilfred Baddeley",3,1895
"61",43,"William M. Johnston",3,1923
"62",62,"Andre Gobert",2,1920
"63",62,"E. Victor Seixas Jr.",2,1954
"64",62,"Fred Stolle",2,1966
"65",62,"Gottfried Von Cramm",2,1936
"66",62,"Henry W. Slocum Jr.",2,1889
"67",62,"Ilie Nastase",2,1973
"68",62,"James Anderson",2,1925
"69",62,"Johan Kriek",2,1982
"70",62,"John Bromwich",2,1946
"71",62,"John Hartley",2,1880
"72",62,"Joshua Pim",2,1894
"73",62,"Lleyton Hewitt",2,2002
"74",62,"Marat Safin",2,2005
"75",62,"Maurice E. McLoughlin",2,1913
"76",62,"Mervyn Rose",2,1958
"77",62,"Nicola Pietrangeli",2,1960
"78",62,"Patrick Rafter",2,1998
"79",62,"R. Lindley Murray",2,1918
"80",62,"Richard A. Gonzales",2,1949
"81",62,"Richard N. Williams",2,1916
"82",62,"Rodney Heath",2,1910
"83",62,"Sergi Bruguera",2,1994
"84",62,"Stan Smith",2,1972
"85",62,"Tony Wilding",2,1909
"86",62,"Yevgeny Kafelnikov",2,1999
"87",87,"A.R.F. Kingscote",1,1919
"88",87,"Adriano Panatta",1,1976
"89",87,"Albert Costa",1,2002
"90",87,"Alejandro Olmedo",1,1959
"91",87,"Alex Olmedo",1,1959
"92",87,"Andres Gimeno",1,1972
"93",87,"Andres Gomez",1,1990
"94",87,"Andy Roddick",1,2003
"95",87,"Arthur Larsen",1,1950
"96",87,"Beals C. Wright",1,1905
"97",87,"Bill Bowrey",1,1968
"98",87,"Brian Teacher",1,1980
"99",87,"Budge Patty",1,1950
"100",87,"C.R. McKinley",1,1963
"101",87,"Carlos Moya",1,1998
"102",87,"Cecil Parke",1,1912
"103",87,"Dick Savitt",1,1951
"104",87,"Dinny Pails",1,1947
"105",87,"Donald McNeill",1,1940
"106",87,"E.F. Parker",1,1913
"107",87,"Ernest Renshaw",1,1888
"108",87,"F.R. Schroeder",1,1949
"109",87,"Francis Lowe",1,1915
"110",87,"Francois Blanchy",1,1923
"111",87,"Frank Hadow",1,1878
"112",87,"Fred Alexander",1,1908
"113",87,"Fred H. Hovey",1,1895
"114",87,"Frederick R. Schroeder, Jr.",1,1942
"115",87,"Gar Moon",1,1930
"116",87,"Gaston Gaudio",1,2004
"117",87,"Goran Ivanisevic",1,2001
"118",87,"H. Briggs",1,1891
"119",87,"Harold Mahoney",1,1896
"120",87,"Henner Henkel",1,1937
"121",87,"Herbert Lawford",1,1887
"122",87,"Holcombe Ward",1,1904
"123",87,"Horace Rice",1,1907
"124",87,"Hugh L. Doherty",1,1903
"125",87,"J. Schopfer",1,1892
"126",87,"J.E. Patty",1,1950
"127",87,"Jean Samazeuilh",1,1921
"128",87,"John Crawford",1,1933
"129",87,"John Gregory",1,1929
"130",87,"John H. Doeg",1,1930
"131",87,"John Hawkes",1,1926
"132",87,"Jozsef Asboth",1,1947
"133",87,"Juan Carlos Ferrero",1,2003
"134",87,"Juan Martin del Potro",1,2009
"135",87,"Ken McGregor",1,1952
"136",87,"L. Riboulet",1,1893
"137",87,"Lt. Joseph R. Hunt",1,1943
"138",87,"M. Vacherot",1,1902
"139",87,"Malcolm J. Anderson",1,1957
"140",87,"Manuel Orantes",1,1975
"141",87,"Marcel Bernard",1,1946
"142",87,"Marin Cilic",1,2014
"143",87,"Mark Edmondson",1,1976
"144",87,"Michael Chang",1,1989
"145",87,"Michael Stich",1,1991
"146",87,"Pat Cash",1,1987
"147",87,"Petr Korda",1,1998
"148",87,"R. Falkenburg",1,1948
"149",87,"R. Savitt",1,1951
"150",87,"Rafael Osuna",1,1963
"151",87,"Rhys Gemmell",1,1921
"152",87,"Richard Krajicek",1,1996
"153",87,"Roscoe Tanner",1,1977
"154",87,"S.B. Wood",1,1931
"155",87,"Spencer Gore",1,1877
"156",87,"Sven Davidson",1,1957
"157",87,"Thomas Johannson",1,2002
"158",87,"Thomas Muster",1,1995
"159",87,"Tony Roche",1,1966
"160",87,"Vitas Gerulaitis",1,1977
"161",87,"Vivian McGrath",1,1937
"162",87,"William Hamilton",1,1890
"163",87,"William McNeill",1,1939
"164",87,"Wilmer L. Allison",1,1935
"165",87,"Yannick Noah",1,1983
"166",87,"Yvon Petra",1,1946
